# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

77.13243823716056 0.9771909180988985 77.62103369621 76.64384277811111 3267
76.1613983714565 0.9648888133092015 76.64384277811111 75.6789539648019 3276
75.20258317338045 0.9527415828429042 75.6789539648019 74.726212381959 3413
74.25583874348513 0.9407472769477607 74.726212381959 73.78546510501124 3405
73.32101311980249 0.9289039704175082 73.78546510501124 72.85656113459373 3353
72.39795625345235 0.9172097622827522 72.85656113459373 71.93935137231098 3440
71.48651998455802 0.9056627755059168 71.93935137231098 71.03368859680506 3530
70.5865580184651 0.8942611566799172 71.03368859680506 70.13942744012515 3472
69.69792590225981 0.8830030757306702 70.13942744012515 69.25642436439448 3557
68.82048100158279 0.8718867256233693 69.25642436439448 68.3845376387711 3555
67.95408247773489 0.8609103220724279 68.3845376387711 67.52362731669868 3606
67.09859126507112 0.8500721032551013 67.52362731669868 66.67355521344358 3624
66.25387004867926 0.8393703295286485 66.67355521344358 65.83418488391493 3692
65.41978324233935 0.82880328315116 65.83418488391493 65.00538160076377 3695
64.59619696676089 0.8183692680057817 65.00538160076377 64.18701233275799 3708
63.78297902809372 0.8080666093285416 64.18701233275799 63.378945723429446 3809
62.9799988967097 0.7978936534394876 63.378945723429446 62.58105206998996 3750
62.18712768625134 0.787848767477243 62.58105206998996 61.793203302512715 3873
61.40423813294423 0.7779303391369652 61.793203302512715 61.01527296337575 3819
60.631204575169996 0.7681367764115095 61.01527296337575 60.24713618696424 3950
59.86790293329628 0.7584665073359318 60.24713618696424 59.48866967962831 3897
59.11421068976074 0.7489179797351326 59.48866967962831 58.739751699893176 3941
58.3700068694058 0.7394896609747477 58.739751699893176 58.00026203891843 4032
57.63517202006085 0.7301800377151508 58.00026203891843 57.27008200120328 4005
56.909588193369025 0.7209876156685056 57.27008200120328 56.54909438553477 4134
56.193138925855294 0.7119109193589637 56.54909438553477 55.83718346617581 4032
55.4857092202329 0.7029484918858202 55.83718346617581 55.13423497428999 4205
54.787185526945166 0.6940988946896454 55.13423497428999 54.44013607960034 4148
54.09745572593964 0.685360707321415 54.44013607960034 53.75477537227893 4284
53.41640910867169 0.6767325272144902 53.75477537227893 53.07804284506444 4220
52.743936360334686 0.6682129694595105 53.07804284506444 52.40982987560493 4310
52.07992954231389 0.659800666582079 52.40982987560493 51.75002920902285 4357
51.4242820748612 0.6514942683232903 51.75002920902285 51.09853494069956 4427
50.776888719988065 0.6432924414229859 51.09853494069956 50.45524249927657 4330
50.13764556457369 0.6351938694057608 50.45524249927657 49.82004862987081 4487
49.506450003685984 0.6271972523696547 49.82004862987081 49.19285137750116 4535
48.883200724112406 0.6193013067775013 49.19285137750116 48.573550070723655 4540
48.2677976880982 0.6115047652509062 48.573550070723655 47.96204530547275 4579
47.66014211728934 0.6038063763668262 47.96204530547275 47.35823892910592 4611
47.06013647687757 0.5962049044567124 47.35823892910592 46.76203402464921 4696
46.46768445994514 0.5886991294081412 46.76203402464921 46.17333489524107 4672
45.882690972006564 0.5812878464690101 46.17333489524107 45.59204704877206 4810
45.30506211574499 0.5739698660541421 45.59204704877206 45.01807718271792 4785
44.734705175940746 0.5667440135543487 45.01807718271792 44.45133316916357 4876
44.171528604589625 0.5596091291478871 44.45133316916357 43.89172404001568 4822
43.61544200620852 0.5525640676143269 43.89172404001568 43.339159972401355 5014
43.06635612332602 0.5456076981506826 43.339159972401355 42.79355227425067 4923
42.524182822155694 0.5387389041899624 42.79355227425067 42.25481337006071 5104
41.98883507844977 0.5319565832218913 42.25481337006071 41.72285678683882 5056
41.460226963530815 0.525259646616 41.72285678683882 41.19759714022282 5064
40.938273630499395 0.5186470194468527 41.19759714022282 40.678950120775966 5219
40.422891300615206 0.5121176403215202 40.678950120775966 40.166832480454445 5202
